track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,streams,in_apple_playlists,bpm,key,mode,danceability_%
Seven feat Latto Explicit Ver,Latto Jung Kook,2,2023,7,14,553,141381703,43,125,B,Major,80
LALA,Myke Towers,1,2023,3,23,1474,133716286,48,92,C,Major,71
vampire,Olivia Rodrigo,1,2023,6,30,1397,140003974,94,138,F,Major,51
Cruel Summer,Taylor Swift,1,2019,8,23,7858,800840817,116,170,A,Major,55
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,303236322,84,144,A,Minor,65
Sprinter,Dave Central Cee,2,2023,6,1,2186,183706234,67,141,C,Major,92
Ella Baila Sola,Eslabon Armado Peso Pluma,2,2023,3,16,3090,725980112,34,148,F,Minor,67
Columbia,Quevedo,1,2023,7,7,714,58149378,25,100,F,Major,67
fukumean,Gunna,1,2023,5,15,1096,95217315,60,130,C,Minor,85
La Bebe  Remix,Peso Pluma Yng Lvcas,2,2023,3,17,2953,553634067,49,170,D,Minor,81
un x100to,Bad Bunny Grupo Frontera,2,2023,4,17,2876,505671438,41,83,F,Minor,57
Super Shy,NewJeans,1,2023,7,7,422,58255150,37,150,F,Minor,78
Flowers,Miley Cyrus,1,2023,1,12,12211,1316855716,300,118,nan,Major,71
Daylight,David Kushner,1,2023,4,14,3528,387570742,80,130,D,Minor,51
As It Was,Harry Styles,1,2022,3,31,23575,2513188493,403,174,F,Minor,52
Kill Bill,SZA,1,2022,12,8,8109,1163093654,183,89,G,Major,64
Cupid  Twin Ver,Fifty Fifty,1,2023,2,24,2942,496795686,91,120,B,Minor,78
What Was I Made For From The Motion Picture Barbie,Billie Eilish,1,2023,7,13,873,30546883,80,78,nan,Major,44
Classy 101,Feid Young Miko,2,2023,3,31,2610,335222234,43,100,B,Major,86
Like Crazy,Jimin,1,2023,3,24,596,363369738,8,120,G,Major,63
LADY GAGA,Gabito Ballesteros Junior H Peso Pluma,3,2023,6,22,332,86444842,11,140,F,Minor,65
I Can See You Taylors Version From The ,Taylor Swift,1,2023,7,7,516,52135248,73,123,F,Major,69
I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,1297026226,24,135,nan,Minor,48
Peso Pluma Bzrp Music Sessions Vol 55,Bizarrap Peso Pluma,2,2023,5,31,1313,200647221,17,133,F,Minor,85
Popular with Playboi Carti  Madonna  The Idol Vol 1 Music from the HBO Original Series,The Weeknd Madonna Playboi Carti,3,2023,6,2,1945,115364561,74,99,C,Major,85
SABOR FRESA,Fuerza Regida,1,2023,6,22,250,78300654,16,130,G,Minor,79
Calm Down with Selena Gomez,Rma Selena G,2,2022,3,25,7112,899183384,202,107,B,Major,80
MOJABI GHOST,Tainy Bad Bunny,2,2023,6,29,859,61245289,35,122,F,Minor,81
Last Night,Morgan Wallen,1,2023,1,31,2420,429829812,52,204,F,Major,52
Dance The Night From Barbie The Album,Dua Lipa,1,2023,5,25,2988,127408954,0,110,B,Minor,67
Rush,Troye Sivan,1,2023,7,13,864,22581161,71,126,F,Minor,74
TULUM,Peso Pluma Grupo Frontera,2,2023,6,28,266,52294266,20,168,F,Major,56
Creepin,The Weeknd 21 Savage Metro Boomin,3,2022,12,2,6036,843957510,113,98,C,Minor,71
AntiHero,Taylor Swift,1,2022,10,21,9082,999748277,242,97,E,Major,64
TQG,Karol G Shakira,2,2023,2,23,4284,618990393,115,180,E,Minor,72
Los del Espacio,Big One Duki Lit Killah Maria Becerra FMK Rusherking Emilia Tiago pzk,8,2023,6,1,1150,123122413,22,120,nan,Major,81
Frgil feat Grupo Front,Yahritza Y Su Esencia Grupo Frontera,2,2023,4,7,672,188933502,19,150,F,Major,61
Blank Space,Taylor Swift,1,2014,1,1,11434,1355959075,154,96,F,Major,75
Style,Taylor Swift,1,2014,1,1,7830,786181836,94,95,D,Major,60
TQM,Fuerza Regida,1,2023,5,19,584,176553476,16,125,F,Minor,79
El Azul,Junior H Peso Pluma,2,2023,2,10,692,354495408,10,144,A,Minor,56
Sunflower  SpiderMan Into the SpiderVerse,Post Malone Swae Lee,2,2018,10,9,24094,2808096550,372,90,D,Major,76
Im Good Blue,Bebe Rexha David Guetta,2,2022,8,26,12482,1109433169,291,128,G,Minor,56
See You Again,Tyler The Creator Kali Uchis,3,2017,7,21,13387,1047101291,77,79,F,Major,56
Barbie World with Aqua From Barbie The Album,Nicki Minaj Aqua Ice Spice,3,2023,6,23,1117,65156199,82,144,nan,Major,77
Angels Like You,Miley Cyrus,1,2020,11,27,3372,570515054,65,122,F,Major,67
I Aint Worried,OneRepublic,1,2022,5,13,8431,1085685420,241,140,nan,Major,71
Die For You,The Weeknd,1,2016,11,24,2483,1647990401,68,134,C,Minor,59
Starboy,The Weeknd Daft Punk,2,2016,9,21,29536,2565529693,281,186,G,Major,68
Die For You  Remix,Ariana Grande The Weeknd,2,2023,2,24,3408,518745108,87,67,C,Minor,53
El Cielo,Feid Myke Towers Sky Rompiendo,3,2023,6,2,1298,107753850,44,106,A,Minor,72
Baby Dont Hurt Me,David Guetta AnneMarie Coi Leray,3,2023,4,6,4277,177740666,145,128,G,Major,60
AMARGURA,Karol G,1,2023,2,24,1133,153372011,14,107,F,Minor,92
It Goes Like Nanana  Edit,Peggy Gou,1,2023,6,15,2259,57876440,0,130,G,Minor,67
Another Love,Tom Odell,1,2012,10,15,18371,1813673666,250,123,E,Minor,45
Blinding Lights,The Weeknd,1,2019,11,29,43899,3703895074,672,171,C,Major,50
Moonlight,Kali Uchis,1,2023,2,24,2649,256483385,67,137,G,Minor,64
La Bachata,Manuel Turizo,1,2022,5,26,6804,1214083358,139,125,G,Minor,84
S91,Karol G,1,2023,7,14,525,16011326,34,128,nan,Minor,86
cardigan,Taylor Swift,1,2020,7,24,7923,812019557,106,130,nan,Minor,61
T,dennis MC Kevin o Chris,2,2023,5,4,731,111947664,27,130,B,Major,86
Boys a liar Pt 2,PinkPantheress Ice Spice,2,2023,2,3,5184,156338624,154,133,F,Major,70
Left and Right Feat Jung Kook of BTS,Charlie Puth BTS Jung Kook,3,2022,6,24,3107,720434240,38,101,D,Major,88
BESO,Rauw Alejandro ROSAL,2,2023,3,24,4053,357925728,82,95,F,Minor,77
Hey Mor,Ozuna Feid,2,2022,10,6,4637,674072710,63,98,C,Minor,90
Yellow,Chris Molitor,1,1999,1,1,31358,1755214421,196,173,B,Major,43
Karma,Taylor Swift,1,2022,10,21,3818,404562836,37,90,G,Major,64
People,Libianca,1,2022,12,2,3506,373199958,105,198,A,Minor,59
Overdrive,Post Malone,1,2023,7,14,410,14780425,36,140,C,Major,56
Enchanted Taylors Version,Taylor Swift,1,2023,7,7,148,39578178,32,82,G,Major,51
BABY HELLO,Rauw Alejandro Bizarrap,2,2023,6,23,1004,54266102,42,130,C,Minor,77
Heat Waves,Glass Animals,1,2020,6,28,22543,2557975762,386,81,B,Major,76
golden hour,JVKE,1,2022,7,15,4511,751134527,70,94,C,Minor,51
Sweater Weather,The Neighbourhood,1,2012,5,14,16413,2282771485,166,124,A,Major,61
Quevedo Bzrp Music Sessions Vol 52,Bizarrap Quevedo,2,2022,7,6,8506,1356565093,94,128,D,Major,62
Viva La Vida,Coldplay,1,2008,1,1,33898,1592909789,233,138,F,Minor,49
Here With Me,d4vd,1,2022,7,17,3246,635412045,94,132,E,Major,58
Unholy feat Kim Petras,Sam Smith Kim Petras,2,2022,9,22,8576,1230675890,216,131,D,Major,71
Yandel 150,Yandel Feid,2,2022,12,20,3618,585695368,47,168,F,Minor,78
CORAZN VA,Maria Becerra,1,2023,6,22,370,43857627,12,98,C,Major,68
Riptide,Vance Joy,1,1975,1,1,31123,2009094673,300,102,C,Major,48
Until I Found You with Em Beihold  Em Beihold Version,Em Beihold Stephen Sanchez,2,2022,4,22,2790,600976848,60,101,A,Major,34
Novidade na ,Mc Livinho DJ Matt D,2,2023,6,23,267,39709092,9,130,F,Major,63
Back To December Taylors Version,Taylor Swift,1,2023,7,7,139,39228929,16,142,D,Major,50
STAY with Justin Bieber,Justin Bieber The Kid Laroi,2,2021,7,9,17050,2665343922,492,170,C,Major,59
El Merengue,Marshmello Manuel Turizo,2,2023,3,3,2114,223633238,80,124,G,Minor,78
Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,2887241814,440,110,C,Major,50
Me Porto Bonito,Chencho Corleone Bad Bunny,2,2022,5,6,8870,1440757818,104,92,C,Minor,91
Makeba,Jain,1,2015,6,22,6060,165484133,150,116,D,Major,82
MONTAGEM  FR PUNK,Ayparia unxbected,2,2012,6,20,641,58054811,1,129,A,Major,63
Fast Car,Luke Combs,1,2023,3,24,1446,157058870,57,98,G,Major,71
What It Is Solo Version,Doechii,1,2023,3,17,804,95131998,29,172,C,Minor,74
Coco Chanel,Bad Bunny Eladio Carrion,2,2023,3,17,1962,250305248,28,150,D,Major,68
Dont Bl,Taylor Swift,1,2017,11,8,4875,685032533,19,136,A,Minor,62
Still With You,Jung Kook,1,2020,6,5,31,38411956,2,88,C,Minor,53
All My Life feat J Cole,J Cole Lil Durk,2,2023,5,12,2175,144565150,69,143,D,Major,83
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,127567540,49,100,F,Minor,49
Snooze,SZA,1,2022,12,9,2839,399686758,58,143,F,Major,56
Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,983637508,89,112,C,Minor,56
Take Two,BTS,1,2023,6,9,674,118482347,20,93,G,Major,62
Lover,Taylor Swift,1,2012,1,1,8448,882831184,160,206,G,Major,43
Too Many Nights feat Don Toliver  with Future,Future Metro Boomin Don Toliver,3,2022,12,2,2110,286400165,17,88,G,Minor,68
Chemical,Post Malone,1,2023,4,14,2528,172825906,56,170,D,Major,50
Mockingbird,Eminem,1,2004,1,1,12985,1241559043,49,84,E,Minor,62
New Jeans,NewJeans,1,2023,7,7,77,29562220,8,134,E,Minor,81
Primera Cita,Carin Leon,1,2022,4,20,266,77309611,6,158,A,Major,54
Cold Heart  PNAU Remix,Dua Lipa Elton John Pnau,3,2017,11,10,21097,1605224506,384,116,C,Major,80
Dandelions,Ruth B,1,2017,4,28,3423,1116995633,41,117,C,Major,61
Bones,Imagine Dragons,1,2021,3,11,4198,838079900,98,114,F,Minor,77
Set Fire to the Rain,Adele,1,2011,1,1,14739,1163620694,88,108,D,Minor,61
Money Trees,Kendrick Lamar Jay Rock,2,2012,1,1,26792,1093605526,69,144,E,Minor,74
Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,179659294,7,130,F,Major,51
LAGUNAS,Jasiel Nuez Peso P,2,2023,6,22,58,39058561,2,116,B,Major,77
Mine Taylors Version,Taylor Swift,1,2023,7,7,99,36912123,21,121,G,Major,65
Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17,41751,1205951614,101,112,G,Major,64
No Role Modelz,J Cole,1,2014,12,9,21164,1791000570,80,100,A,Minor,70
Tattoo,Loreen,1,2023,2,25,2988,201660859,74,150,D,Minor,55
Rara Vez,Taiu Milo j,2,2023,2,8,893,248088961,19,120,F,Minor,84
VAGABUNDO,Sebastian Yatra Manuel Turizo Be,3,2023,5,12,1094,90839753,40,127,B,Minor,82
august,Taylor Swift,1,2020,7,24,7324,607123776,25,90,F,Major,51
LUNA,Junior H Peso Pluma,2,2023,6,22,201,55842345,19,128,A,Minor,75
Miracle with Ellie Goulding,Calvin Harris Ellie Goulding,2,2023,3,10,5120,211050784,161,143,A,Major,64
Nonsense,Sabrina Carpenter,1,2022,7,15,2346,342897938,69,139,G,Major,74
Que Vuelvas,Carin Leon Grupo Frontera,2,2022,12,9,763,2762,21,162,A,Major,49
Por las Noches,Peso Pluma,1,2021,6,11,457,330346424,8,92,nan,Major,81
Feliz Cumpleaos Fe,Feid,1,2022,8,19,3430,601863821,45,95,F,Major,87
Cant Hold Us feat Ray Dalton,Ray Dalton Ryan Lewis Macklemore,3,2011,8,16,6074,1953533826,201,146,D,Major,63
Watermelon Sugar,Harry Styles,1,2019,11,17,21915,2322580122,437,95,nan,Major,55
lovely  Bonus Track,Billie Eilish Khalid,2,2017,8,11,15032,2355719893,221,115,E,Minor,35
Rauw Alejandro Bzrp Music Sessions Vol 56,Rauw Alejandro Bizarrap,2,2023,6,21,871,66902503,25,128,B,Major,78
Queencard,GIDLE,1,2023,5,15,451,96273746,10,130,E,Minor,82
OMG,NewJeans,1,2023,1,2,1783,430977451,26,127,A,Minor,80
Radio,Lana Del Rey,1,2011,1,1,9389,284819874,24,150,D,Major,42
Shakira Bzrp Music Sessions Vol 53,Shakira Bizarrap,2,2023,1,11,5724,721975598,119,122,D,Minor,78
505,Arctic Monkeys,1,2007,4,20,13985,1217120710,30,140,nan,Major,52
Calling SpiderMan Across the SpiderVerse Metro Boomin  Swae Lee NAV feat A Boogie Wit da Hoodie,Swae Lee A Boogie Wit da Hoodie Metro Boomin NAV,4,2023,6,2,1051,109276132,31,140,nan,Major,63
Trance with Travis Scott  Young Thug,Travis Scott Young Thug Metro Boomin,3,2022,12,2,1682,276259178,24,119,C,Minor,75
Tere Vaaste From Zara Hatke Zara Bachke,SachinJigar Shadab Faridi Altamash Faridi Amitabh Bhattacharya Varun Jain,5,2023,5,22,182,54225632,3,110,G,Minor,76
Perfect,Ed Sheeran,1,2017,1,1,16596,2559529074,7,95,G,Major,60
Romantic Homicide,d4vd,1,2022,7,20,2335,681583126,82,132,F,Major,56
Believer,Imagine Dragons,1,2017,1,31,18986,2594040133,250,125,A,Minor,77
Novo Balan,Veigh Bvga Beatz Supernova Ent Prod Malax,4,2023,5,19,283,81102253,6,124,D,Minor,84
Gol Bolinha Gol Quadrado 2,Mc Pedrinho DJ 900,2,2023,6,1,293,11956641,5,133,B,Minor,93
Without Me,Eminem,1,2002,1,1,21081,1687664027,98,112,G,Major,92
QUEMA,Sog Ryan Castro Peso Pluma,3,2023,7,13,437,11599388,17,97,nan,Major,79
Stargirl Interlude,The Weeknd Lana Del Rey,2,2016,11,24,1275,611700552,13,90,F,Minor,59
Ojitos Lindos,Bomba Estreo Bad B,2,2022,5,6,6135,1133865788,71,80,D,Minor,65
Somewhere Only We Know,Keane,1,2004,1,1,20015,1089402494,107,172,A,Major,45
Those Eyes,New West,1,2019,5,10,1507,411747614,24,120,E,Major,60
El Gordo Trae El Mando,Chino Pacas,1,2023,1,27,539,255932395,7,140,G,Minor,74
Mi Bello Angel,Natanael Cano,1,2023,6,30,86,31873544,7,128,A,Minor,81
Bye,Peso Pluma,1,2023,5,26,324,95053634,13,122,nan,Major,78
Danza Kuduro,Don Omar Lucenzo,2,2010,1,1,17138,1279434863,119,130,nan,Major,47
Nosso Quadro,Ana Castela AgroPlay,2,2023,2,2,894,233801632,14,160,A,Major,69
Locked Out Of Heaven,Bruno Mars,1,2012,12,5,1622,1481349984,0,144,F,Major,73
Un Finde  CROSSOVER 2,Big One FMK Ke personajes,3,2023,4,4,561,142095275,4,192,B,Major,50
Jimmy Cooks feat 21 Savage,Drake 21 Savage,2,2022,6,17,5871,618885532,81,163,nan,Major,54
Counting Stars,OneRepublic,1,2013,1,1,29215,2011464183,179,122,C,Minor,66
Ghost,Justin Bieber,1,2021,3,19,5866,1167330737,107,154,D,Major,61
Under The Influence,Chris Brown,1,2019,10,4,3859,929964809,133,117,A,Minor,73
PRC,Natanael Cano Peso Pluma,2,2023,1,23,961,436027885,19,138,G,Minor,78
Gasolina,Daddy Yankee,1,2004,7,13,6457,657723613,98,96,nan,Major,86
One Dance,Drake WizKid Kyla,3,2016,4,4,43257,2713922350,433,104,C,Major,77
Enchanted,Taylor Swift,1,2010,1,1,4564,621660989,24,164,G,Major,45
Save Your Tears,The Weeknd,1,2020,3,20,12688,1591223784,197,118,nan,Major,68
Sure Thing,Miguel,1,2010,5,25,13801,950906471,137,81,B,Minor,68
Every Breath You Take  Remastered 2003,The Police,1,1983,1,6,22439,1593270737,211,117,C,Major,82
The Night We Met,Lord Huron,1,2015,2,2,18515,1410088830,70,174,D,Major,45
We Found Love,Rihanna Calvin Harris,2,2011,1,1,36843,1235005533,321,128,C,Major,73
When I Was Your Man,Bruno Mars,1,2012,12,5,2420,1661187319,0,145,nan,Major,60
Let Me Down Slowly,Alec Benjamin,1,2018,5,25,5897,1374581173,0,150,C,Minor,65
Am I Dreaming Metro Boomin  AAP Rocky Roisee,AAP Rocky Metro Boomin Roisee,3,2023,6,2,727,94186466,17,90,A,Minor,60
Do I Wanna Know,Arctic Monkeys,1,2013,1,1,33783,1788326445,133,85,F,Major,55
Demons,Imagine Dragons,1,2012,1,1,26694,1840364617,65,180,D,Major,33
,YOASOBI,1,2023,4,12,356,143573775,35,166,C,Major,57
Reminder,The Weeknd,1,2016,11,25,6518,684675814,45,160,G,Major,71
Shake It Off,Taylor Swift,1,2014,1,1,21335,1113838873,328,160,G,Major,65
Whyd You Only Call Me When Youre High,Arctic Monkeys,1,2013,1,1,23389,1267333350,54,92,D,Major,70
SNAP,Rosa Linn,1,2022,3,19,3202,726307468,148,170,nan,Major,56
Shape of You,Ed Sheeran,1,2017,1,6,32181,3562543890,33,96,C,Minor,83
Night Changes,One Direction,1,2014,11,17,7124,1131090940,60,120,G,Major,67
Fin de Semana,Oscar Maydon Junior H,2,2023,1,13,592,307370144,11,98,nan,Major,70
Creep,Radiohead,1,1992,9,21,36724,1271293243,146,92,G,Major,53
Cars Outside,James Arthur,1,2019,10,18,794,265882712,38,150,A,Major,34
Apocalypse,Cigarettes After Sex,1,2017,3,21,13091,841749534,61,94,F,Major,37
Cheques,Shubh,1,2023,5,19,67,47956378,7,90,E,Minor,74
Pink  White,Frank Ocean,1,2016,8,20,21574,806397070,112,160,A,Major,54
Circles,Post Malone,1,2019,8,30,19664,2132335812,391,120,nan,Major,70
Just The Way You Are,Bruno Mars,1,2010,1,1,21106,1641426668,82,109,F,Major,63
Take Me To Church,Hozier,1,2013,9,13,23804,2135158446,187,129,E,Minor,57
Bebe Dame,Fuerza Regida Grupo Frontera,2,2022,12,16,849,367316268,27,157,G,Major,54
You Belong With Me Taylors Ve,Taylor Swift,1,2021,4,9,2619,350381515,47,130,F,Major,63
Titi Me Pregunt,Bad Bunny,1,2022,5,6,9037,1264310836,124,107,F,Minor,65
Better Than Revenge Taylors Version,Taylor Swift,1,2023,7,7,86,30343206,3,146,B,Minor,50
Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,1788,405136812,1,139,A,Minor,48
Have You Ever Seen The Rain,Creedence Clearwater Revival,1,1968,7,1,15890,1145727611,71,116,nan,Major,74
Es un Secreto,Plan B,1,2010,7,20,492,540654286,4,95,F,Minor,84
POLARIS  Remix,Feid Mora Saiko Quevedo,4,2023,6,8,773,57312735,20,170,G,Minor,62
Ditto,NewJeans,1,2022,12,19,1154,397582059,28,134,F,Minor,81
Take On Me,aha,1,1984,10,19,44927,1479115056,34,84,F,Minor,57
Annihilate SpiderMan Across the SpiderVerse Metro Boomin  Swae Lee Lil Wayne Offset,Swae Lee Lil Wayne Offset Metro Boomin,4,2023,6,2,551,86773632,13,146,B,Minor,61
Angel Pt 1 feat Jimin of BTS JVKE  Muni Long,Kodak Black NLE Choppa Muni Long JVKE Jimin,5,2023,5,1,577,133753727,22,74,A,Minor,53
Acrs,Shakira,1,2023,5,11,955,123124076,37,144,B,Major,75
AMG,Natanael Cano Gabito Ballesteros Peso Pluma,3,2022,11,24,995,463564958,12,136,B,Minor,77
Phir Aur Kya Chahiye From Zara Hatke Zara Bachke,Arijit Singh SachinJigar Amitabha Bhattacharya,3,2023,5,15,178,64533040,6,100,E,Major,56
SClass,Stray Kids,1,2023,6,2,290,65496046,9,105,F,Minor,89
Hits Different,Taylor Swift,1,2023,5,26,547,68616963,15,106,F,Major,67
Chanel,Becky G Peso Pluma,2,2023,3,30,681,161460990,15,132,D,Major,85
Self Love SpiderMan Across the SpiderVerse Metro Boomin  Coi Leray,Metro Boomin Coi Leray,2,2023,6,2,332,70106975,18,120,A,Major,78
Area Codes,Kaliii Kaliii,2,2023,3,17,1197,113509496,44,155,C,Major,82
Abcdario,Junior H Eden Mu,2,2023,5,13,262,89933133,8,129,G,Major,70
Obsessed,Abhijay Sharma Riar Saab,2,2022,9,29,161,71007139,10,135,F,Minor,80
Piman De,Semicenk Dou ,2,2023,6,2,185,43522589,5,98,A,Minor,73
FLOWER,JISOO,1,2023,3,31,839,232896922,20,124,A,Minor,84
All The Way Live SpiderMan Across the SpiderVerse Metro Boomin  Future Lil Uzi Vert,Future Lil Uzi Vert Metro Boomin,3,2023,6,2,259,37126685,5,135,A,Minor,77
Eyes Closed,Ed Sheeran,1,2023,3,23,2915,195576623,116,107,D,Major,78
Escapism,RAYE 070 Shake,2,2022,10,12,5129,532336353,116,96,D,Major,54
La Jumpa,Arcangel Bad Bunny,2,2022,11,30,3794,538115192,47,123,G,Major,71
Karma feat Ice Spice,Taylor Swift Ice Spice,2,2023,5,26,588,46142772,23,90,G,Major,62
Superhero Heroes  Villains with Future  Chris Brown,Future Chris Brown Metro Boomin,3,2022,12,2,2959,401036314,41,117,F,Minor,72
Las Morras,BLESSD Peso Pluma,2,2023,4,4,291,127026613,8,133,A,Minor,78
CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,2321,345031710,29,96,G,Minor,74
Ch y la Pizza,Fuerza Regida Natanael Cano,2,2022,12,1,536,288101651,10,149,G,Major,66
Snow On The Beach feat More Lana Del Rey,Lana Del Rey Taylor Swift,2,2023,5,26,359,60350538,1,110,F,Minor,66
Players,Coi Leray,1,2022,11,30,4096,335074782,118,105,F,Major,95
Bite Me,ENHYPEN,1,2023,5,22,349,76767396,8,105,C,Major,80
Stand By Me feat Morgan Wallen,Lil Durk Morgan Wallen,2,2023,5,26,381,46065667,23,134,B,Major,76
Normal,Feid,1,2022,7,8,2461,459276435,47,170,E,Minor,71
Hummingbird Metro Boomin  James Blake,James Blake Metro Boomin,2,2023,6,2,277,39666245,1,81,F,Major,59
Seu Brilho Sumiu  Ao Vivo,Israel  Rodolffo Mari Fernandez,2,2023,3,1,967,138517666,7,154,F,Major,63
Bad Habit,Steve Lacy,1,2022,6,29,8186,822633917,155,169,C,Major,69
CUFF IT,Beyonc,1,2022,7,29,7842,595900742,215,115,G,Major,78
