track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,streams,in_apple_playlists,bpm,key,mode,danceability_%
Lilith feat SUGA of BTS Diablo IV Anthem,Halsey Suga,2,2023,6,5,215,51985779,6,84,A,Minor,43
69,Nicky Jam Feid,2,2023,5,18,1134,57945987,39,93,G,Major,79
Nia Bo,Sean Paul Feid,2,2023,4,21,1305,115010040,29,91,G,Major,82
Search  Rescue,Drake,1,2023,4,7,2066,175097833,58,142,A,Minor,82
AMERICA HAS A PROBLEM feat Kendrick Lamar,Kendrick Lamar Beyonc,2,2023,5,19,896,57089066,34,126,C,Major,78
Lavender Haze,Taylor Swift,1,2022,10,21,3763,488386797,51,97,A,Major,73
Link Up Metro Boomin  Don Toliver Wizkid feat BEAM  Toian  SpiderVerse Remix SpiderMan Across the SpiderVerse ,WizKid Toian Metro Boomin Don Toliver Beam,5,2023,6,2,197,32761689,3,101,F,Major,92
Efecto,Bad Bunny,1,2022,5,6,4004,1047480053,34,98,G,Minor,80
Erro Gostoso  Ao Vivo,Simone Mendes,1,2023,1,27,984,153454328,8,154,F,Major,59
Cupido,Tini,1,2023,2,14,1240,217672943,51,120,A,Major,91
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,457184829,72,150,B,Major,49
Unstoppable,Sia,1,2016,1,21,7681,939844851,119,174,A,Major,47
Until I Found You,Stephen Sanchez,1,2021,9,1,4427,726434358,69,202,A,Major,34
Rich Flex,Drake 21 Savage,2,2022,11,4,4657,573633020,84,153,B,Minor,56
Easy On Me,Adele,1,2021,10,14,10195,1406111294,258,142,F,Major,60
Carto B,MC Caverinha KayBlack,2,2023,5,11,269,71573339,7,108,A,Minor,84
Danger Spider Offset  JID,Offset JID,2,2023,6,2,214,24975653,3,143,B,Major,83
Oi Balde  Ao Vivo,Z Neto  Crist,1,2023,2,14,845,145458418,12,108,D,Major,67
The Real Slim Shady,Eminem,1,2000,1,1,20763,1424589568,81,104,F,Minor,95
MERCHO,Migrantes LiL CaKe Nico Valdi,3,2022,12,16,1267,231332117,41,93,F,Minor,84
The Color Violet,Tory Lanez,1,2021,12,10,2585,415932686,3,105,F,Minor,65
Glimpse of Us,Joji,1,2022,6,10,6330,988515741,109,170,G,Major,44
Mejor Que Yo,Mambo Kingz DJ Luian Anuel Aa,3,2023,5,4,675,50847624,9,178,C,Minor,62
Curtains,Ed Sheeran,1,2023,5,5,715,39893489,37,176,F,Minor,50
UNFORGIVEN feat Nile Rodgers,Nile Rodgers LE SSERAFIM,2,2023,5,1,327,92035115,14,104,E,Minor,80
Haegeum,Agust D,1,2023,4,21,244,118810253,6,85,G,Major,70
Conexes de Mfia feat Rich ,Rich The Kid Matu,2,2023,4,30,385,77233241,17,117,F,Minor,77
MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24,1020,206399629,15,80,nan,Major,52
Never Felt So Alone,Labrinth,1,2023,4,7,1730,117747907,46,98,F,Major,44
X SI VOLVEMOS,Karol G Romeo Santos,2,2023,2,2,2127,266624541,45,178,C,Minor,79
ceilings,Lizzy McAlpine,1,2022,4,8,3242,293186992,67,148,A,Major,51
Cupid,Fifty Fifty,1,2023,2,24,526,139681964,15,120,D,Major,77
I AM,IVE,1,2023,4,10,366,123132751,16,122,E,Minor,68
Cupid  Twin Ver FIFTY FIFTY  Spe,sped up 8282,1,1997,1,1,472,103762518,0,144,F,Major,74
Shorty Party,Cartel De Santa La Kelly,2,2023,3,4,432,162887075,8,96,D,Major,93
Super,SEVENTEEN,1,2023,4,24,271,91221625,16,137,G,Major,77
Slut Me Out,NLE Choppa,1,2022,4,22,816,190490915,21,121,F,Minor,94
Double Fantasy with Future,The Weeknd Future,2,2023,4,21,1169,96180277,36,119,A,Minor,60
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,1282,185240616,26,96,D,Major,72
PROVENZA,Karol G,1,2022,4,21,6587,885093467,114,111,C,Major,87
Princess Diana with Nicki Minaj,Nicki Minaj Ice Spice,2,2023,4,14,1444,104992946,0,148,A,Major,90
Di Que Si,Grupo Marca Registrada Grupo Frontera,2,2023,2,3,356,147290338,4,182,A,Major,57
Shivers,Ed Sheeran,1,2021,9,9,10147,1302184087,234,141,D,Major,79
Igualito a Mi Ap,Fuerza Regida Peso Pluma,2,2022,12,30,265,158950978,8,145,E,Minor,76
Shoong feat LISA of BLACKPINK,TAEYANG Lisa,2,2023,4,25,351,76910644,16,110,B,Minor,76
Komang,Raim Laode,1,2022,8,16,158,137123880,5,134,G,Major,70
DESPECH,ROSAL,1,2022,7,28,7613,782369383,180,130,G,Major,92
Made You Look,Meghan Trainor,1,2022,10,21,3956,502574952,142,145,A,Major,84
Watch This  ARIZONATEARS Pluggnb Remix,sped up nightcore ARIZONATEARS Lil Uzi Vert,3,2023,2,5,1638,207033255,0,130,B,Minor,69
No Se Va,Grupo Frontera,1,2022,4,28,924,404887295,17,173,nan,Major,59
Punto G,Quevedo,1,2022,11,4,1985,381161027,34,92,B,Minor,75
Lovers Rock,TV Girl,1,2014,6,5,6339,466231982,3,105,F,Minor,56
METAMORPHOSIS,INTERWORLD,1,2021,11,25,1561,357580552,18,175,G,Minor,59
Mami Chula,Quevedo Jhayco,2,2023,4,27,875,61105704,17,120,G,Minor,80
En Paris,El Chachito Junior H,2,2022,12,24,406,198275403,3,139,D,Minor,70
Set Me Free Pt2,Jimin,1,2023,3,17,340,168448603,4,132,nan,Minor,59
I Was Never There,The Weeknd Gesaffelstein,2,2018,3,29,4188,705469769,30,114,A,Major,32
Dont ever say love me feat RM of BTS,RM Colde,2,2023,5,4,105,34502215,5,145,B,Minor,54
Shut Down,BLACKPINK,1,2022,9,16,1524,482175240,53,110,nan,Major,82
Gato de Noche,Nengo Flow Bad Bunny,2,2022,12,22,2651,304118600,21,94,G,Major,89
Call Out My Name,The Weeknd,1,2018,3,29,11087,1449799467,151,134,C,Major,45
Like Crazy English Version,Jimin,1,2023,3,24,373,173627354,4,120,G,Major,62
Rosa Pastel,Jasiel Nuez Peso P,2,2023,2,2,200,90025258,8,123,G,Minor,70
Sunroof,Nicky Youre Dazy,2,2021,12,3,3741,652704649,156,131,A,Major,77
Lose Yourself  Soundtrack Version,Eminem,1,2002,1,1,32502,1829992958,247,171,D,Major,70
Superman,Eminem Dina Rae,2,2002,5,26,7615,655466831,18,130,E,Minor,80
Mas Rica Que Ayer,Mambo Kingz DJ Luian Anuel Aa,3,2023,3,2,1208,146409671,10,94,B,Major,82
People Pt2 feat IU,IU Agust D,2,2023,4,7,209,95816024,4,89,G,Minor,73
REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,117206995,20,87,F,Minor,65
Arcngel Bzrp Music Sessions Vol,Arcangel Bizarrap,2,2023,3,22,654,100409613,11,124,B,Minor,72
DOGTOOTH,Tyler The Creator,2,2023,3,27,1479,80758350,23,78,G,Major,71
1035,Tisto Tate M,2,2022,11,1,4942,325592432,190,120,G,Major,70
SORRY NOT SORRY,Tyler The Creator,2,2023,3,31,709,58473276,8,96,F,Minor,48
HAPPY,NF,1,2023,3,25,660,52722996,22,106,G,Major,73
La Bebe,Yng Lvcas,1,2021,12,24,489,191945597,4,170,D,Minor,78
I Know  PR1SVX Edit,Kanii PR1ISVX,2,2023,3,24,407,77377503,16,134,B,Minor,67
Late Night Talking,Harry Styles,1,2022,5,20,7461,743693613,166,115,A,Major,71
Le,Marlia Mendo,1,2022,12,9,993,267789608,30,130,F,Major,74
Save Your Tears with Ariana Grande Remix,Ariana Grande The Weeknd,2,2020,3,20,9161,1221813483,240,118,nan,Major,65
Something in the Orange,Zach Bryan,1,2022,4,22,3282,449701773,67,110,G,Major,59
VOID,Melanie Martinez,1,2023,3,29,596,67070410,29,100,A,Major,72
Dijeron Que No La Iba Lograr,Fuerza Regida Chino Pacas,2,2023,3,14,320,116334601,5,142,G,Minor,70
Midnight Rain,Taylor Swift,1,2022,10,21,2612,433356509,19,140,nan,Major,64
If We Ever Broke Up,Mae Stephens,1,2023,2,10,2040,165584767,81,116,G,Major,90
You Proof,Morgan Wallen,1,2022,5,13,2128,367814306,37,120,A,Major,73
LA INOCENTE,Feid Mora,2,2022,4,1,2598,477033549,28,92,F,Minor,76
Malas Decisiones,Kenia OS,1,2022,10,26,542,156214700,23,110,G,Minor,81
Murder In My Mind,Kordhell,1,2022,1,21,2459,448843705,20,120,A,Major,71
Gangstas Paradise,Coolio LV,2,1995,7,11,10624,1357608774,21,80,G,Major,63
CAIRO,Karol G Ovy On The Drums,2,2022,11,13,2418,294352144,52,115,F,Minor,95
I Love You So,The Walters,1,2014,11,28,7536,972164968,44,76,A,Major,58
Dark Red,Steve Lacy,1,2017,2,20,10431,920045682,71,172,F,Major,60
Say You Wont Let Go,James Arthur,1,2016,9,9,15722,2420461338,231,99,A,Major,40
The Hills,The Weeknd,1,2015,5,27,25744,1947371785,122,136,nan,Minor,36
Heart To Heart,Mac DeMarco,1,2019,5,10,1640,244658767,27,150,G,Minor,90
Peaches from The Super Mario Bros Movie,Jack Black,1,2023,4,7,34,68216992,0,92,A,Minor,71
Marisola  Remix,Duki NICKI NICOLE Cris Mj Standly Stars Music Chile,5,2022,12,15,1845,223582566,20,95,C,Major,77
LOKERA,Brray Rauw Alejandro Lyanno,3,2022,7,25,3301,471819764,72,102,B,Minor,83
Low,SZA,1,2022,12,9,1911,272377463,23,145,nan,Minor,70
Numb,Linkin Park,1,2003,3,24,20111,1361425037,39,110,A,Major,50
Tormenta feat Bad Bunny,Gorillaz Bad Bunny,2,2023,2,24,1529,149778242,32,95,nan,Major,64
on the street with J Cole,jhope J Cole,2,2023,3,3,615,116599790,22,94,B,Minor,68
One Thing At A Time,Morgan Wallen,1,2022,12,2,811,148469433,11,142,G,Major,61
Miss You,Robin Schulz Oliver Tree,2,2022,8,5,5730,497225336,108,145,F,Minor,59
Aint Tha,Morgan Wallen,1,2023,3,3,356,88791109,4,121,F,Minor,64
Thinkin B,Morgan Wallen,1,2023,3,3,604,125917280,22,140,D,Minor,66
Private Landing feat Justin Bieber  Future,Don Toliver Future Justin Bieber,3,2023,2,23,1190,105062254,29,137,C,Minor,84
Everything I Love,Morgan Wallen,1,2023,1,31,579,95623148,11,104,G,Major,56
Heaven,Niall Horan,1,2023,2,17,1553,144584800,61,92,F,Major,57
LET GO,Central Cee,1,2022,12,15,2301,298063749,49,146,D,Minor,74
Sial,Mahalini,1,2023,1,23,134,166570053,4,120,D,Major,56
I Wrote The Book,Morgan Wallen,1,2023,1,31,430,83021468,15,144,D,Major,68
Apna Bana Le From Bhediya,Arijit Singh SachinJigar,2,2022,11,5,86,139836056,11,94,A,Major,59
SPIT IN MY FACE,ThxSoMch,1,2022,10,31,629,303216294,32,94,G,Major,73
PLAYA DEL INGL,Myke Towers Quevedo,2,2022,12,15,1701,221409663,30,113,G,Minor,79
Man Made A Bar feat Eric Church,Morgan Wallen Eric Church,2,2023,3,3,329,58890931,14,148,E,Major,50
Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,3,1168,81419389,45,98,C,Major,70
Kahani Suno 20,Kaifi Khalil,1,2022,5,31,162,156777415,1,140,B,Major,58
Nobody Gets Me,SZA,1,2022,12,9,2536,284908316,59,100,G,Major,36
PERO T,Karol G Quevedo,2,2023,2,23,387,93438910,11,140,F,Major,86
Hype Boy,NewJeans,1,2022,8,1,892,363472647,20,100,E,Minor,59
Bloody Mary,Lady Gaga,1,2011,1,1,3909,372476382,66,100,A,Minor,59
Monoton,Ozuna Shakira,2,2022,10,19,3645,380726517,118,132,nan,Minor,87
98 Braves,Morgan Wallen,1,2023,3,3,282,56533272,6,142,D,Major,49
WANDA,Quevedo,1,2023,1,20,888,175399345,11,176,E,Minor,72
Thought You Should Know,Morgan Wallen,1,2022,5,6,968,203221468,16,140,F,Major,53
In The End,Linkin Park,1,2000,10,24,25065,1624165576,63,105,D,Minor,55
Zona De Perigo,Leo Santana,1,2022,12,8,531,134294498,20,135,F,Major,81
Lovezinho,Treyce,1,2022,7,28,242,70069745,12,128,E,Minor,82
I Like You A Happier Song with Doja Cat,Post Malone Doja Cat,2,2022,6,3,5281,609293408,94,101,F,Major,74
Neverita,Bad Bunny,1,2022,5,6,2590,671365962,20,122,A,Major,88
Vista Al Mar,Quevedo,1,2022,9,8,1769,362361576,16,105,nan,Minor,76
Sem Aliana no ,MC Xenon Os Gemeos da Putaria,2,2022,12,23,454,93587665,6,83,C,Major,53
Enemy with JID  from the series Arcane League of Legends,Imagine Dragons League of Legends JID Arcane,4,2021,9,3,6180,1223481149,122,77,B,Minor,72
Revenge,XXXTENTACION,1,2017,8,25,3600,1022258230,7,140,B,Minor,75
Bombonzinho  Ao Vivo,Israel  Rodolffo Ana Castela,2,2022,11,3,1254,263453310,26,158,C,Major,65
LA CANCI,J Balvin Bad Bunny,2,2019,6,28,6398,1435127549,177,176,G,Major,75
Qu Ago,Yuridia Angela Aguilar,2,2022,10,20,660,236857112,19,98,B,Major,73
Love Again,The Kid Laroi,1,2023,1,27,1283,147538971,57,107,B,Minor,66
After Hours,The Weeknd,1,2020,2,19,8084,698086140,45,109,F,Minor,66
About Damn Time,Lizzo,1,2022,7,15,2332,723894473,0,109,A,Minor,84
Born With A Beer In My Hand,Morgan Wallen,1,2023,3,3,203,34450974,5,148,nan,Major,53
,Fujii Kaze,1,2020,5,20,685,403097450,24,158,F,Minor,60
Besos Moja2,Wisin  Yandel ROSAL,2,2022,9,29,2460,309483971,53,94,F,Minor,74
Maan Meri Jaan,King,1,2022,10,12,288,319566866,11,96,F,Minor,70
Moscow Mule,Bad Bunny,1,2022,5,6,4572,909001996,74,100,F,Minor,80
My Universe,Coldplay BTS,2,2021,9,24,6127,1061966512,0,105,A,Major,58
Devil Don,Morgan Wallen,1,2023,3,3,166,32526947,2,125,nan,Major,53
LLYLM,ROSAL,1,2023,1,27,1838,124988687,105,170,F,Minor,56
Im Not Here To Make Friends,Sam Smith Calvin Harris Jessie Reyez,3,2023,1,27,1890,103787664,86,115,nan,Major,70
TRUSTFALL,Pnk,1,2023,1,27,2098,134255790,88,122,G,Major,64
ANTIFRAGILE,LE SSERAFIM,1,2022,10,17,761,301051721,23,105,A,Minor,88
Boys a liar,PinkPantheress,1,2022,11,30,1225,156338624,27,133,F,Major,66
VIBE feat Jimin of BTS,TAEYANG Jimin,2,2023,1,13,415,152850295,15,100,nan,Major,79
Shirt,SZA,1,2022,10,28,3469,309653982,71,120,D,Minor,82
Lift Me Up  From Black Panther Wakanda Forever  Music From and Inspired By,Rihanna,1,2022,10,28,3311,297328960,129,177,A,Major,25
STAR WALKIN League of Legends Worlds Anthem,Lil Nas X,1,2022,9,22,2616,332506354,113,142,D,Minor,64
Sex Drugs Etc,Beach Weather,1,2016,11,4,3006,480507035,47,144,E,Minor,57
Boy With Luv feat Halsey,Halsey BTS,2,2019,4,12,4260,1065580332,113,120,B,Minor,65
Hey Mickey,Baby Tate,1,2016,9,27,482,122763672,9,135,D,Major,92
Calm Down,R,1,2022,2,9,4013,445763624,107,107,B,Major,81
Jhoome Jo Pathaan,Arijit Singh Vishal Dadlani Sukriti Kakar VishalShekhar Shekhar Ravjiani Kumaar,6,2022,12,22,138,1365184,13,105,G,Major,82
Escapism  Sped Up,RAYE 070 Shake,2,2022,11,25,1368,184308753,12,108,F,Minor,44
Space Song,Beach House,1,2015,1,1,17852,789753877,69,147,nan,Minor,51
Dreamers Music from the FIFA World Cup Qatar 2022 Official Soundtrack,BTS Jung Kook FIFA Sound,3,2022,11,20,889,323358833,11,115,nan,Major,71
Te Felicito,Shakira Rauw Alejandro,2,2022,4,21,4796,606361689,124,174,F,Major,70
Mu,Steve Aoki Tini La Joaqui,3,2023,1,12,658,120972253,33,90,A,Minor,68
TV,Billie Eilish,1,2022,7,21,3009,338564981,68,141,E,Minor,41
Im Not The Only One,Sam Smith,1,2014,1,1,17492,1606986953,136,82,F,Major,68
Heather,Conan Gray,1,2020,3,20,6170,1301799902,82,92,F,Major,47
Besharam Rang From Pathaan,VishalShekhar Shilpa Rao Caralisa Monteiro Kumaar Vishal Dadlani Shekhar Ravjiani,6,2022,12,12,130,140187018,21,116,G,Minor,77
One Kiss with Dua Lipa,Calvin Harris Dua Lipa,2,2017,6,2,27705,1897517891,537,124,A,Minor,79
Sugar Rush Ride,TOMORROW X TOGETHER,1,2023,1,27,359,107642809,12,125,A,Minor,71
Pink Venom,BLACKPINK,1,2022,8,19,1963,551305895,57,90,nan,Major,80
WAIT FOR U feat Drake  Tems,Drake Future Tems,3,2022,4,27,5491,556585270,128,83,C,Major,46
Dont Start Now,Dua Lipa,1,2019,10,31,27119,2303033973,532,124,B,Minor,79
After Dark,MrKitty,1,2014,8,8,1776,646886885,1,140,G,Major,58
Eu Gosto Assim  Ao Vivo,Gustavo Mioto Mari Fernandez,2,2022,9,16,1473,222612678,27,154,nan,Major,64
INDUSTRY BABY feat Jack Harlow,Jack Harlow Lil Nas X,2,2021,7,23,13315,1814349763,300,150,D,Minor,74
MIDDLE OF THE NIGHT,Elley Duh,1,2020,1,10,4057,872137015,78,186,E,Minor,41
Atlantis,Seafret,1,2015,4,22,3045,571386359,43,166,G,Minor,40
PUNTO 40,Baby Rasta Rauw Alejandro,2,2022,9,22,3006,304079786,54,107,nan,Major,87
Evoque Prata,DJ Escobar MC MENOR SG MC MENOR HR,3,2022,9,9,852,174006928,14,87,G,Major,87
How Do I Say Goodbye,Dean Lewis,1,2022,8,5,2163,284785823,72,82,G,Major,40
Blind,SZA,1,2022,12,9,1484,163284000,22,114,A,Minor,46
Die For You,Joji,1,2022,11,4,1703,246390068,38,148,G,Major,47
Doja,Central Cee,1,2022,7,20,4169,482257456,57,140,F,Major,91
Gatita,Bellakath,1,2022,10,3,1054,168684524,9,101,G,Major,90
Rumble,Skrillex Flowdan Fred again,3,2022,1,17,2849,78489819,39,140,C,Minor,81
Niagara Falls Foot or 2 with Travis Scott  21 Savage,Travis Scott 21 Savage Metro Boomin,3,2022,12,2,1602,195516622,12,88,G,Minor,49
Yonaguni,Bad Bunny,1,2021,6,4,9644,1260594497,120,180,C,Major,64
Super Freaky Girl,Nicki Minaj,1,2022,8,12,4827,428685680,104,133,D,Major,95
Running Up That Hill A Deal With God,Kate Bush,1,1985,9,16,21811,1024858327,117,108,A,Minor,63
Dream On,Aerosmith,1,1973,1,5,168,838586769,0,80,F,Minor,39
Limbo,Freddie Dredd,1,2022,8,11,688,199386237,14,75,B,Minor,80
Where Are You Now,Lost Frequencies Calum Scott,2,2021,7,30,10565,972509632,238,121,F,Minor,67
WORTH NOTHING,Twisted Oliver Tree,2,2022,9,28,1612,213438580,34,140,D,Minor,58
Bad Habits,Ed Sheeran,1,2020,9,3,12755,1555511105,344,126,B,Minor,81
KICK BACK,Kenshi Yonezu,1,2022,10,12,574,210038833,38,102,C,Major,58
Evergreen You Didnt Deserve Me A,Omar Apollo,1,2022,4,8,2499,227918678,70,82,A,Major,70
Good Days,SZA,1,2020,12,24,10426,826623384,133,121,C,Minor,46
Levitating feat DaBaby,Dua Lipa DaBaby,2,2020,3,27,15894,1802514301,198,103,F,Minor,70
Woman,Doja Cat,1,2021,6,25,9424,1329090101,202,108,F,Minor,82
Shut up My Moms Calling  Sped Up,Hotel Ugly,1,2022,9,14,713,181831132,2,85,F,Minor,65
Ferrari,James Hype Miggy Dela Rosa,2,2022,3,14,7758,462791599,173,125,C,Minor,84
Youre On Your Own Kid,Taylor Swift,1,2022,10,21,2537,348647203,8,120,D,Major,69
Kesariya From Brahmastra,Pritam Arijit Singh Amitabh Bhattacharya,3,2022,7,17,292,366599607,26,94,nan,Major,58
Agudo Mgi,Styrx utku INC Thezth,3,1930,1,1,323,90598517,4,130,F,Minor,65
Payphone,Maroon 5 Wiz Khalifa,2,2012,1,1,14143,1479264469,56,110,E,Major,74
All I Want for Christmas Is You,Mariah Carey,1,1994,10,28,25653,1449779435,387,150,G,Major,34
Last Christmas,Wham,1,1984,1,1,22153,1159176109,274,107,B,Minor,74
Rockin Around The Christmas Tree,Brenda Lee,1,1958,1,1,14994,769213520,191,140,G,Major,70
Jingle Bell Rock,Bobby Helms,1,1957,1,1,10326,741301563,165,119,D,Major,74
Its Beginning To Look A Lot Like Christmas,Michael Bubl,1,2011,10,14,12353,807561936,35,93,E,Major,35
Santa Tell Me,Ariana Grande,1,2013,12,13,9408,834129063,231,133,G,Major,46
Its the Most Wonderful Time of the Year,Andy Williams,1,1963,10,14,8879,663832097,182,202,G,Major,24
Let It Snow Let It Snow Let It Snow,Dean Martin,1,1959,11,16,6512,446390129,88,134,C,Major,45
Snowman,Sia,1,2017,1,1,5140,690104769,85,105,C,Major,72
Underneath the Tree,Kelly Clarkson,1,2013,10,25,6596,485285717,144,160,G,Major,51
Feliz Navidad,Jos Felic,1,1970,11,1,3788,520034544,21,148,D,Major,50
Holly Jolly Christmas,Michael Bubl,1,2011,10,14,7655,476244795,5,151,G,Major,65
Mistletoe,Justin Bieber,1,2011,1,1,9577,629173063,195,162,F,Minor,67
Sleigh Ride,The Ronettes,1,1963,11,22,10114,404664135,114,92,D,Major,53
Seek  Destroy,SZA,1,2022,12,9,1007,98709329,5,152,C,Major,65
Love Language,SZA,1,2022,12,9,1127,110849052,16,65,A,Minor,71
Happy Xmas War Is Over,John Lennon The Harlem Community Choir The Plastic Ono Band Yoko Ono,4,1971,12,1,10829,460492795,130,147,D,Major,33
Used feat Don Toliver,SZA Don Toliver,2,2022,12,8,1042,94005786,7,150,A,Minor,73
A Holly Jolly Christmas  Single Version,Burl Ives,1,1952,1,1,7930,395591396,108,140,nan,Major,67
The Christmas Song Merry Christmas To You  Remastered 1999,Nat King Cole,1,1946,11,1,11500,389771964,140,139,C,Major,36
Wonderful Christmastime  Edited Version  Remastered 2011,Paul McCartney,1,1979,11,16,1685,403939487,1,95,B,Major,75
Do They Know Its Christmas  1984 Version,Band Aid,1,1984,11,25,14169,481697415,209,115,nan,Major,60
Ghost in the Machine feat Phoebe Bridgers,SZA Phoebe Bridgers,2,2022,12,9,1634,110073250,16,125,F,Major,62
Special,SZA,1,2022,12,9,906,88092256,6,76,nan,Major,60
Merry Christmas Everyone,Shakin Stevens,1,1984,1,1,1087,351636786,90,101,C,Minor,72
Let It Snow Let It Snow Let It Snow,Frank Sinatra B Swanson Quartet,2,1950,1,1,10585,473248298,126,143,D,Major,60
SOS,SZA,1,2022,12,9,827,73981293,6,119,G,Minor,51
Open Arms feat Travis Scott,SZA Travis Scott,2,2022,12,8,1420,155653938,13,78,A,Major,67
